num_elements,num_element_nodes,x,y
2,2,0.000000,0.000000
2,2,0.500000,12.500000
2,2,1.000000,0.000000
3,2,0.000000,0.000000
3,2,0.333333,11.111111
3,2,0.666667,11.111111
3,2,1.000000,0.000000
4,2,0.000000,0.000000
4,2,0.250000,9.375000
4,2,0.500000,12.500000
4,2,0.750000,9.375000
4,2,1.000000,0.000000
5,2,0.000000,0.000000
5,2,0.200000,8.000000
5,2,0.400000,12.000000
5,2,0.600000,12.000000
5,2,0.800000,8.000000
5,2,1.000000,0.000000
6,2,0.000000,0.000000
6,2,0.166667,6.944444
6,2,0.333333,11.111111
6,2,0.500000,12.500000
6,2,0.666667,11.111111
6,2,0.833333,6.944444
6,2,1.000000,0.000000
7,2,0.000000,0.000000
7,2,0.142857,6.122449
7,2,0.285714,10.204082
7,2,0.428571,12.244898
7,2,0.571429,12.244898
7,2,0.714286,10.204082
7,2,0.857143,6.122449
7,2,1.000000,0.000000
8,2,0.000000,0.000000
8,2,0.125000,5.468750
8,2,0.250000,9.375000
8,2,0.375000,11.718750
8,2,0.500000,12.500000
8,2,0.625000,11.718750
8,2,0.750000,9.375000
8,2,0.875000,5.468750
8,2,1.000000,0.000000
